date,no1,no2,no3,no4,no5
2014-01-01 00:00:00,0.147578,1.280623,-1.380002,1.647981,-1.142526
2014-01-01 01:00:00,-0.112479,0.412390,0.392642,0.924482,0.051610
2014-01-01 02:00:00,0.104948,0.319514,-0.864297,1.490041,1.093087
2014-01-01 03:00:00,-0.179381,2.669205,-2.243335,-0.517780,-0.278675
2014-01-01 04:00:00,0.093441,-0.147692,0.573728,-0.819856,-1.978950
2014-01-01 05:00:00,0.022053,-0.427589,0.375042,-0.180504,1.280387
2014-01-01 06:00:00,-0.033277,0.459263,-1.348468,1.138613,-0.152907
2014-01-01 07:00:00,-0.584011,0.932653,0.170826,-0.581792,0.861025
2014-01-01 08:00:00,-0.195051,-0.422131,0.575849,0.268368,-1.220988
2014-01-01 09:00:00,-0.735887,0.268831,-0.659042,-1.254700,0.255095
2014-01-01 10:00:00,0.885036,0.336122,-1.871869,1.095946,0.914150
2014-01-01 11:00:00,0.915139,-1.016863,-0.446438,1.393607,-0.499478
2014-01-01 12:00:00,-2.121875,0.914408,-1.323587,-0.474327,-1.975348
2014-01-01 13:00:00,0.278900,-0.794005,-1.088914,1.067672,-0.277654
2014-01-01 14:00:00,-2.485617,-0.158854,0.768536,1.097889,0.192198
2014-01-01 15:00:00,0.748248,-2.081826,0.995331,-0.549416,-0.376413
2014-01-01 16:00:00,0.116420,-0.269719,-1.023120,1.266699,0.176587
2014-01-01 17:00:00,-0.084068,1.191654,0.926626,-0.925204,0.454408
2014-01-01 18:00:00,0.430679,-0.651252,1.634919,-0.078268,-1.007168
2014-01-01 19:00:00,-1.653478,-0.007293,0.503655,1.280958,0.160515
2014-01-01 20:00:00,-0.753375,0.554573,-0.458958,-1.336340,-0.253423
2014-01-01 21:00:00,-0.711339,0.171371,-0.145700,-1.840048,0.143737
2014-01-01 22:00:00,-0.111401,0.399370,0.220582,-1.080501,-1.131625
2014-01-01 23:00:00,-1.775717,-0.379772,-1.054486,0.128828,0.271726
2014-01-02 00:00:00,2.173247,-0.131636,1.413161,0.999537,-1.004788
2014-01-02 01:00:00,0.042233,0.876041,0.702681,0.621039,-0.390239
